stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
FEROLETO ANTICA PIANOPOLI,REG,5.666666666666667,7.0,2,3,2,2,0,38.938255,16.36622
FERRARA,REG,1.0188985678429057,0.0,96,6773,1246,730,301,44.843047,11.603594
FIDENE,REG,1.500608519269777,1.0,167,9860,891,381,110,41.979773,12.508451
FIERA,REG,-2.1489698890649764,-2.0,60,4417,10,5,2,38.144004,13.351336
FIGLINE VALDARNO,REG,3.177378219841877,2.0,121,7842,2546,1452,432,43.621596,11.473652
FINALE LIGURE MARINA,REG,3.459603289791969,2.0,69,4134,1449,878,263,44.169116,8.34033
FIVIZZANO - GASSANO,REG,3.3132108486439193,3.0,20,1143,358,161,19,44.202672,10.091691
FOGNANO,REG,5.407381615598886,5.0,21,1436,863,611,137,,
FONTECCHIO,REG,2.737864077669903,2.0,8,103,51,49,5,42.222822,13.604445
FORLIMPOPOLI,REG,3.6306753147653565,2.0,36,2621,773,500,188,44.194165,12.128125
FOSCIANDORA - CESERANA,REG,3.3877551020408165,3.0,9,441,157,59,8,44.118559,10.444212
FOSSANO,REG,1.1180654338549076,0.0,100,6327,1180,549,162,44.550231,7.717971
FRANCAVILLA AL MARE,REG,1.968529571351058,1.0,25,1843,367,194,41,42.421316,14.288062
FRANCIOSA,REG,4.9162303664921465,4.0,3,191,99,62,16,,
FROSINONE,REG,-0.6558108409547179,-1.0,82,4483,346,192,94,41.625333,13.328728
GAIFANA,REG,0.48663101604278075,-1.0,5,374,57,27,9,43.181837,12.784148
GALLIERA VENETA TOMBOLO,REG,6.5,2.0,2,2,1,1,1,45.652901,11.828066
GAVIGNANO,REG,2.964630225080386,2.0,58,2799,605,181,44,,
GAZZO DI BIGARELLO,REG,0.3464100666173205,0.0,23,1351,129,67,32,45.176648,10.894005
GAZZO PIEVE S. GIACOMO,REG,4.428134556574924,3.0,8,654,268,155,45,45.137151,10.189922
GENOVA PRA,REG,7.0,8.0,33,44,29,28,10,44.426874,8.785356
GENOVA QUINTO AL MARE,REG,9.105263157894736,10.0,17,19,16,14,9,44.385184,9.020514
GENOVA S.BIAGIO,REG,11.666666666666666,14.0,2,3,2,2,2,44.484399,8.900854
GENOVA STURLA,REG,8.7,7.0,34,50,36,32,15,44.397977,8.981466
GENOVA VIA DI FRANCIA,REG,6.04,7.0,10,25,18,17,2,44.411126,8.90192
GIACHERY,REG,-5.438517179023508,-6.0,30,2212,3,1,0,38.138135,13.355856
GIARRE RIPOSTO,REG,1.5814239960581424,0.0,66,4059,662,397,173,37.730346,15.193386
GIOIA DEL COLLE,REG,-0.1973365617433414,-1.0,38,2478,159,82,36,40.796983,16.916569
GLORIE,REG,2.5089820359281436,2.0,5,334,83,45,6,44.483341,12.075736
GRAGNOLA,REG,1.987811955890888,1.0,28,1723,346,150,27,44.191069,10.109245
GRAMMICHELE,REG,0.9418181818181818,-1.0,8,275,33,27,15,37.209336,14.641256
GRAVELLONA TOCE,REG,1.7510766580534023,1.0,18,1161,226,123,27,45.934051,8.428346
GRIGNO,REG,2.883762200532387,2.0,15,1127,342,135,15,46.015059,11.624984
GROANE,REG,0.8008658008658008,0.0,18,231,15,9,3,,
GROTTE,REG,0.572744014732965,0.0,9,543,55,20,8,37.409848,13.702717
GROTTE S.STEFANO,REG,2.057518488085456,1.0,18,1217,224,111,37,42.51512,12.169372
INCISA,REG,2.3708086785009863,1.0,84,5070,1313,665,177,43.656541,11.452728
INVERIGO,REG,0.0030404378230465185,0.0,49,3289,0,0,0,,
IPOGEO DEGLI OTTAVI,REG,2.4595707782354217,2.0,154,9226,2119,726,122,41.968391,12.409026
ISERNIA,REG,2.1703056768558953,-1.0,8,458,87,63,42,41.596946,14.235421
ISOLA DEL CANTONE,REG,10.0,7.0,6,9,6,6,3,44.646589,8.957578
IVREA,REG,1.955969517358171,1.0,86,3543,855,409,112,45.461542,7.876348
JESI,REG,1.1293454431569057,0.0,49,3193,441,239,96,43.520164,13.251316
LA SPEZIA CENTRALE,REG,1.6919478783828934,1.0,125,5986,1459,802,275,44.11141,9.813906
LABRO MOGGIO,REG,9.071729957805907,8.0,4,237,224,187,72,42.506131,12.746224
LADISPOLI-CERVETERI,REG,1.436140018921476,1.0,94,6342,1039,510,131,41.953502,12.081675
LASTRA A SIGNA,REG,7.336065573770492,5.0,34,122,76,57,25,,
LATIANO,REG,2.9134377576257213,2.0,16,1213,279,154,59,40.558074,17.717629
LECCO,REG,2.6051097211915617,1.0,150,9433,2404,1444,583,45.856471,9.393638
LEGNAGO,REG,2.3786242183058555,2.0,30,1759,342,141,54,45.189034,11.304724
