stop_name,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
GENOVA P. PRINCIPE SOTTERRANEA,Fri,-0.7875722543352601,-2.0,69,692,56,30,13
GENOVA QUARTO DEI MILLE,Fri,2.690950920245399,1.0,134,1304,323,205,57
GENOVA SAMPIERDARENA,Fri,1.1599848714069592,1.0,247,2644,367,207,82
GERENZANO - TURATE,Fri,0.001953125,0.0,48,512,0,0,0
GIAROLE,Fri,2.0501672240802677,2.0,25,299,58,23,2
GIUGLIANO QUALIANO,Fri,2.2073643410852712,2.0,45,516,70,28,7
GIULIANOVA,Fri,2.304783092324805,1.0,82,899,199,131,41
GLORIE,Fri,2.1,2.0,5,50,11,5,0
GRAMMICHELE,Fri,1.2682926829268293,-1.0,8,41,5,5,4
GRANAIOLO,Fri,3.9040697674418605,4.0,32,344,182,88,16
GRICIGNANO,Fri,2.5440414507772022,1.0,34,386,81,49,21
GRISIGNANO DI ZOCCO,Fri,2.552166934189406,2.0,62,623,175,86,25
GRUMELLO DEL MONTE,Fri,3.298624754420432,2.0,44,509,145,70,27
IMOLA,Fri,4.006928406466512,2.0,122,1299,490,303,113
IMPERIA,Fri,3.0280112044817926,2.0,70,714,255,145,40
INDUNO OLONA,Fri,3.2114285714285713,2.0,85,1050,300,130,40
JOPPOLO,Fri,0.5402298850574713,0.0,16,174,17,12,5
L'Aquila S. Gregorio,Fri,6.071428571428571,5.0,7,84,77,42,4
L'Aquila Sassa N.S.I.,Fri,3.0943396226415096,2.0,14,106,27,9,5
LANZARA FIMIANI,Fri,5.0,5.0,1,1,1,0,0
LASTRA A SIGNA,Fri,9.291666666666666,3.0,18,24,11,10,5
LAVENO,Fri,0.004672897196261682,0.0,18,214,0,0,0
LEONFORTE-PIRATO,Fri,4.2727272727272725,1.0,15,110,28,17,7
LEVATA,Fri,4.260752688172043,2.0,31,372,138,79,30
LEVICO,Fri,4.144329896907217,3.0,16,194,87,43,8
LICATA,Fri,5.3538461538461535,4.0,6,65,38,24,10
LIVORNO FERRARIS,Fri,1.9078212290502794,1.0,36,358,80,46,18
LOCATE V. - CARBONATE,Fri,0.001953125,0.0,48,512,0,0,0
LODI,Fri,3.113438045375218,1.0,153,1719,528,327,137
LORETO,Fri,2.653796653796654,1.0,76,777,186,105,31
LUCCA,Fri,2.3666666666666667,2.0,115,1110,326,166,41
LUGO,Fri,5.422396856581533,3.0,42,509,245,151,63
L`AQUILA,Fri,1.3554006968641115,1.0,30,287,51,23,12
M.N. BRUZZANO,Fri,0.0011587485515643105,0.0,96,863,0,0,0
MACCARESE,Fri,1.5347150259067357,1.0,86,965,143,69,18
MACERATA,Fri,0.7556270096463023,0.0,35,311,43,18,7
