stop_name,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
CATANIA EUROPA,30.0,30.0,1,1,1,1,1,,
CATANIA OGNINA,19.4,17.0,5,5,5,5,5,,
CATANZARO,3.209291835814163,3.0,38,2217,876,467,55,38.896222,16.599081
CAVA DEI TIRRENI,2.0179757085020245,1.0,85,6175,1196,615,190,40.703662,14.708461
CAVA MANARA,4.7005718954248366,3.0,32,2448,1077,707,217,45.144867,9.115332
CAVA TIGOZZI,3.8329355608591884,2.0,8,419,131,68,34,45.156823,9.955827
CAVARIA OGGIONA JERAGO,4.4685892725936815,2.0,77,5444,2166,1443,498,45.698145,8.8035
CAVI,5.714285714285714,5.0,6,7,5,3,1,44.29354,9.37251
CECCANO,1.0191771269177128,0.0,60,2868,297,163,67,41.573583,13.336417
CEGGIA,11.375,8.0,7,8,8,6,3,45.688394,12.633987
CELLE,3.75,2.0,4,4,2,1,0,44.34246,8.542626
CENTALLO,1.8871391076115485,1.0,56,3048,633,282,70,44.496223,7.591035
CENTOLA,11.565217391304348,12.0,15,23,18,17,13,40.090672,15.34674
CEPRANO-FALVATERRA,0.41344479275513757,-1.0,60,2871,228,137,61,41.523962,13.523481
CEREA,2.893491124260355,2.0,23,1352,300,120,43,45.196556,11.213921
CERIALE,8.363636363636363,7.0,8,11,6,6,4,44.098922,8.234216
CERIGNOLA,3.0222299409517195,2.0,67,2879,839,464,136,41.315664,15.897298
CERLANO LAGHETTO,0.5415821501014199,-1.0,37,2465,283,149,46,,
CERRETO D`ESI,1.0,1.0,1,1,0,0,0,43.32205,12.98319
CESANO DI ROMA,1.917530045586407,1.0,121,7239,1202,373,107,42.061833,12.326669
CESATE,0.5758085848262595,0.0,101,8317,413,121,21,,
CESENA,2.2053393922181197,0.0,104,7042,1897,1367,686,44.145449,12.24964
CESENATICO,3.249585131098573,1.0,54,3013,773,483,237,44.20065,12.391186
CHAMBAVE,-1.0,-1.0,1,1,0,0,0,45.744163,7.557301
CHIAVENNA,1.3774436090225564,1.0,18,1330,172,85,32,46.321258,9.407129
CHIEUTI SERRACAPRIOLA,3.2740384615384617,2.0,10,624,253,127,30,41.921962,15.156645
CHIURO,2.291021671826625,1.0,5,323,60,37,15,46.164658,9.992317
CHIUSI C.T.,2.5486883059137395,1.0,82,4498,1257,780,384,43.002466,11.957893
CIANO D'ENZA,2.6504504504504505,2.0,10,555,169,87,12,,
CISANO CAPRINO BERGAMASCO,2.8110831234256928,2.0,35,2779,738,383,99,45.739606,9.474261
CISMON DEL GRAPPA,2.3158828748890863,2.0,15,1127,242,111,12,45.919664,11.729272
CISTERNA DI LATINA,1.8700137551581844,1.0,85,4362,823,450,150,41.586511,12.827538
CIVATE,3.845014450867052,3.0,34,2768,1064,617,164,45.831295,9.352877
CIVITANOVA MARCHE,3.0519763460939933,2.0,118,6426,1972,1184,420,43.3091,13.7257
CIVITAVECCHIA,2.6774024155434972,1.0,91,5713,1360,895,421,42.088287,11.79815
CIVITELLA ROVETO,2.583086053412463,1.0,14,674,158,80,27,41.916419,13.424882
CODIGORO,4.184265010351967,3.0,9,483,233,90,15,,
CODOGNO,4.217618219199747,2.0,87,6323,2289,1468,564,45.154897,9.701376
CODROIPO,2.2884986491702044,1.0,87,5182,983,522,177,45.9657,12.976543
COGOLETO,1.5430583137750495,1.0,111,5539,779,437,159,44.389762,8.643906
COLLARMELE,2.1846689895470384,1.0,10,287,58,34,12,,
COLLEFERRO-SEGNI-PALIANO,0.8419441944194419,0.0,100,5555,644,321,114,41.740062,13.00299
COLLI DEL TRONTO,4.0,4.0,1,1,1,0,0,,
COLORNO,3.8642121931908155,2.0,32,2526,947,631,204,44.927943,10.382935
COMO S. GIOVANNI,2.078334943356459,1.0,178,11387,2715,1589,523,45.808946,9.072331
COMPIOBBI,3.193020249892288,2.0,74,4642,1626,869,203,43.782527,11.358695
CONEGLIANO,0.9003873154199952,0.0,139,8262,1050,545,220,45.884706,12.298909
CONSELICE,4.56,4.0,4,300,163,108,37,44.510987,11.831949
CONTEA LONDA,3.2885270730783795,3.0,46,2641,1109,537,101,43.865124,11.531603
CORBETTA S. STEFANO,7.150537634408602,7.0,49,93,72,61,12,45.480829,8.917457
CORIGLIANO CALABRO,4.846452328159645,3.0,25,1804,825,561,221,39.628223,16.514949
CORMONS,1.1406123001896504,0.0,66,3691,498,276,97,45.957519,13.461563
CORNIGLIA,3.3085344613087835,2.0,108,4019,1198,676,206,44.119938,9.711051
CORNUDA,2.2671651937457513,1.0,33,1471,371,148,33,45.833846,12.012886
CORONELLA,3.5067720090293455,2.0,11,886,252,138,45,,
CORRIDONIA MOGLIANO,1.629663330300273,1.0,28,1099,166,91,31,43.281616,13.477697
CORTEOLONA,3.821155943293348,3.0,22,1834,785,458,102,45.159701,9.375477
COSIO TRAONA,4.095921883974727,3.0,21,1741,749,456,141,46.135564,9.525498
COSTA MASNAGA,2.96,2.0,38,3050,989,499,91,45.76343,9.285231
CREMA,5.186559679037111,3.0,44,2991,1290,841,343,45.366864,9.694209
CREMONA,3.2854895104895103,2.0,80,5720,1680,984,461,45.143215,10.017951
CRESCENTINO,3.4586709886547813,3.0,29,1851,654,333,93,45.194302,8.107175
CRESPINO DEL LAMONE,3.2904290429042904,2.0,22,1515,540,293,75,,
CRESSA FONTANETO,3.0721489526764936,2.0,20,1289,416,260,70,45.646331,8.498435
CREVALCORE,1.717284677261134,1.0,87,5097,1122,730,271,44.719156,11.152625
CROTONE,3.890710382513661,3.0,29,2013,824,528,213,39.0845,17.108418
CUCCIAGO,4.844660194174757,4.0,45,103,54,40,12,45.740813,9.082205
CUNEO,-0.9405719392314567,-2.0,45,2238,161,84,42,44.387914,7.536235
CUSANO,5.0,1.0,6,6,2,2,2,45.945427,12.757485
CUTRO,8.83435582822086,6.0,2,163,118,89,40,39.02593,16.963809
DECIMOMANNU,0.07593741570002698,-1.0,144,7414,417,260,124,39.304593,8.965808
DEGO,1.6502115655853316,1.0,23,1418,129,62,38,44.448003,8.308469
DELEBIO,4.008036739380023,2.0,21,1742,704,449,143,46.13865,9.461168
DESENZANO,3.9172428694900603,2.0,68,4628,1751,1039,382,45.462677,10.536322
DIANO,9.204081632653061,8.0,28,49,42,40,18,,
