stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
NOVARA,IC,Sun,4.310344827586207,0.0,4,29,4,4,2
NOVI LIGURE,IC,Sun,-0.7777777777777778,-2.0,3,36,2,1,1
ORBETELLO,IC,Sun,11.25,4.0,2,24,14,10,6
OSTUNI,IC,Sun,2.8043478260869565,-1.0,11,92,18,12,6
PALIZZI,IC,Sun,2.0,2.0,1,1,0,0,0
PATTI-SAN PIERO PATTI,IC,Sun,3.7714285714285714,1.0,6,35,10,7,3
PISA CENTRALE,IC,Sun,3.9741379310344827,2.0,24,232,74,49,25
PORTO S. GIORGIO FERMO,IC,Sun,3.2896551724137932,2.0,13,145,50,27,11
REGGIO CALABRIA CENTRALE,IC,Sun,0.8701298701298701,-3.0,7,77,18,10,5
ROMA OSTIENSE,IC,Sun,2.0256410256410255,-1.0,9,78,15,15,10
RONCO SCR.,IC,Sun,-2.0,-2.0,1,1,0,0,0
S. MARGHERITA LIGURE PORTOFINO,IC,Sun,3.8926174496644297,2.0,13,149,48,27,11
SANREMO,IC,Sun,5.333333333333333,4.0,6,6,5,2,0
SANTO STEFANO DI CAMASTRA,IC,Sun,6.857142857142857,-1.0,3,7,2,1,1
SARZANA,IC,Sun,7.2368421052631575,1.0,4,38,12,6,5
SQUILLACE,IC,Sun,2.0,2.0,1,1,0,0,0
TARANTO,IC,Sun,0.7142857142857143,-3.0,8,63,8,7,6
TERMINI IMERESE,IC,Sun,-3.588235294117647,-3.0,6,34,2,2,2
TERNI,IC,Sun,2.215686274509804,1.0,10,51,17,10,8
TORINO P.NUOVA,IC,Sun,-0.6231884057971014,-1.0,8,69,4,3,1
TORINO PORTA SUSA,IC,Sun,3.896551724137931,0.0,4,29,3,2,2
TRIESTE AIRPORT,IC,Sun,2.76,1.0,5,50,9,7,4
TRIESTE CENTRALE,IC,Sun,8.37037037037037,1.0,4,27,8,6,3
TROPEA,IC,Sun,0.16666666666666666,-4.0,2,6,1,1,1
UDINE,IC,Sun,75.0,3.0,2,2,1,1,1
VAIRANO,IC,Sun,9.23076923076923,4.0,2,26,14,12,7
VASTO S.SALVO,IC,Sun,5.221311475409836,2.0,12,122,47,35,14
VIAREGGIO,IC,Sun,3.1991341991341993,1.0,23,231,69,41,23
VIBO VALENZIA PIZZO,IC,Sun,4.587719298245614,1.0,10,114,32,26,11
VILLA SAN GIOVANNI,IC,Sun,3.8364779874213837,-2.0,20,159,35,27,21
VILLABASSA - BRAIES,IC,Sun,1.0,1.0,1,1,0,0,0
VITTUONE ARLUNO,IC,Sun,-10.0,-10.0,1,1,0,0,0
