stop_name,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
PRATO CENTRALE,Sun,0.21775147928994082,-1.0,89,845,91,57,24,43.878737,11.109252
PRATO PORTA AL SERRAGLIO,Sun,11.0,11.0,1,1,1,1,1,43.884637,11.097385
PREMOSELLO CHIOVENDA,Sun,1.8778877887788779,1.0,42,303,51,34,12,46.002188,8.326649
QUARTO DI MARANO,Sun,0.5384615384615384,1.0,9,52,2,0,0,40.871086,14.122801
QUARTO D`ALTINO,Sun,2.3153745072273324,1.0,63,761,148,66,18,45.574576,12.365032
QUERCIANELLA,Sun,2.446078431372549,1.0,17,204,53,31,16,43.454922,10.37255
RACCONIGI,Sun,0.6767241379310345,0.0,18,232,20,7,2,44.771179,7.685681
RAPOLANO TERME,Sun,2.84375,2.0,14,160,40,17,9,43.283331,11.602504
RAVENNA,Sun,1.7105263157894737,1.0,44,494,101,67,33,44.419155,12.208404
REGGIO DI CALABRIA GALLICO,Sun,0.806282722513089,0.0,19,191,9,6,3,38.165235,15.650716
REGGIO DI CALABRIA S.GREGORIO,Sun,0.2980132450331126,0.0,13,151,8,1,0,38.061274,15.652053
REMEDELLO SOTTO,Sun,6.472222222222222,5.0,15,180,127,78,18,45.257477,10.388402
RIGNANO SULL`ARNO REGGELLO,Sun,1.2745098039215685,0.0,30,357,56,26,8,43.720834,11.452383
RIGOLI,Sun,0.5,1.0,8,90,7,3,1,43.789681,10.419663
RIMINI TORRE PEDRERA,Sun,2.2202898550724637,1.0,42,345,43,29,15,44.106987,12.508755
RIMINI VISERBA,Sun,1.0263157894736843,0.0,45,380,35,22,13,44.088407,12.533785
RIO DI PUSTERIA,Sun,0.4927536231884058,1.0,6,69,1,1,0,46.79712,11.670028
RIOLA,Sun,1.4301675977653632,1.0,30,358,51,14,3,44.229851,11.053592
ROCCA DI FONDI,Sun,0.47692307692307695,1.0,5,65,1,0,0,42.39799,13.095825
ROCCA D`EVANDRO,Sun,4.013333333333334,2.0,6,75,21,18,7,41.438861,13.911338
ROCCELLA JONICA,Sun,1.9105263157894736,1.0,15,190,54,23,6,38.322043,16.406917
ROMA AURELIA,Sun,0.5714285714285714,0.0,18,224,14,5,1,41.88344,12.395271
ROMA NOMENTANA L.L.,Sun,1.005540166204986,1.0,87,722,55,29,12,41.932935,12.523628
ROMA OSTIENSE,Sun,0.004923682914820286,-1.0,181,2031,192,92,47,41.87265,12.483917
ROMA TERMINI,Sun,1.0874966957441183,0.0,334,3783,636,437,232,41.900636,12.502026
ROMAGNANO SESIA,Sun,-9.0,-14.0,2,2,0,0,0,45.629888,8.384581
ROMAGNANO V.,Sun,4.818181818181818,3.0,1,11,5,5,2,40.610041,15.447651
ROMANO,Sun,2.2130434782608694,0.0,61,690,129,78,39,45.523839,9.753402
ROMANORE,Sun,1.9908256880733946,1.0,18,218,38,23,14,45.063834,10.750997
RONCEGNO BAGNI-MARTER,Sun,2.611111111111111,2.0,6,72,17,7,1,46.03618,11.398818
RONCO SCR.,Sun,1.5518987341772152,0.0,67,790,140,84,31,44.614537,8.949421
ROSA`,Sun,0.75,1.0,4,4,0,0,0,45.72054,11.775799
ROSETO DEGLI ABRUZZI,Sun,2.6192660550458715,2.0,21,218,62,34,5,42.677852,14.01535
ROVERETO,Sun,3.5463917525773194,2.0,62,679,259,153,51,45.890985,11.033518
RUBIERA,Sun,4.029339853300733,2.0,37,409,143,89,36,44.65618,10.780252
RUSSI,Sun,3.3812316715542523,2.0,33,341,113,53,27,44.379011,12.03164
S. ANTONINO DI SALUGGIA,Sun,1.8402366863905326,1.0,13,169,22,13,1,45.253967,8.039728
S. CASSIANO VALCHIAVENNA,Sun,2.1436950146627565,1.0,29,341,59,32,19,46.275438,9.397419
S. DAMIANO D`ASTI,Sun,1.0891089108910892,0.0,16,202,26,16,5,44.878914,8.125956
S. EUROSIA,Sun,1.7170731707317073,1.0,16,205,16,8,4,41.675927,12.755105
S. GERMANO VERCELLESE,Sun,1.8698224852071006,1.0,13,169,22,15,4,45.353603,8.249958
S. STEFANO DI MAGRA,Sun,1.4285714285714286,1.0,31,322,63,28,7,44.156857,9.915202
S. VINCENZO,Sun,1.9014084507042253,1.0,37,426,91,59,16,43.100366,10.539823
S. ZENO FOLZANO,Sun,2.8522427440633247,2.0,32,379,88,46,19,45.491552,10.211683
S.AGATA M.,Sun,-0.8294573643410853,0.0,25,258,44,23,11,38.073554,14.640622
S.BENEDETTO DEL TRONTO,Sun,4.019083969465649,2.0,50,524,189,123,55,42.954386,13.882297
S.DEMETRIO DE` VESTINI,Sun,0.8923076923076924,1.0,5,65,3,0,0,42.294447,13.536543
S.FLAVIA,Sun,4.0,4.0,1,1,1,0,0,38.0826,13.530625
S.GIULIANO TERME,Sun,0.915,1.0,33,400,37,20,7,43.764895,10.436892
S.GIUSTINA CESIO,Sun,0.5338645418326693,0.0,36,251,13,3,3,46.077655,12.04294
S.PIETRO IN GU`,Sun,2.196629213483146,1.0,14,178,11,6,3,45.605039,11.673157
S.VITO LANCIANO,Sun,2.0384615384615383,1.0,4,52,11,5,0,42.307401,14.448093
SALANDRA,Sun,6.076923076923077,3.0,2,26,11,6,2,40.583446,16.351564
SALBERTRAND,Sun,2.223175965665236,1.0,20,233,27,14,9,45.073478,6.887428
SALEMI GIBELLINA,Sun,2.4313725490196076,1.0,8,102,22,11,7,37.806619,12.865517
SALERNO,Sun,0.4474199869366427,-2.0,159,1531,306,220,137,40.675137,14.772822
SALICETO,Sun,2.019230769230769,1.0,8,104,17,8,3,44.404437,8.172887
SAMOLACO,Sun,2.067448680351906,1.0,29,341,48,29,19,46.246436,9.423582
SAN BONIFACIO,Sun,3.729433272394881,2.0,53,547,156,87,43,45.40276,11.27406
SAN GIORGIO DI NOGARO,Sun,1.1986455981941309,0.0,36,443,52,31,10,45.82917,13.210315
SAN GIOVANNI IN PERSICETO,Sun,4.793871866295264,4.0,30,359,201,118,37,44.643151,11.189444
SANGIANO,Sun,4.009569377990431,3.0,25,209,82,17,5,45.874464,8.630769
SANGUINETTO,Sun,1.34640522875817,1.0,12,153,21,12,4,45.188811,11.152467
SANREMO,Sun,6.5,7.0,10,12,10,7,1,43.821269,7.766693
SANTA DOMENICA,Sun,4.253333333333333,2.0,7,75,20,13,3,38.663764,15.859822
SANTA MARINELLA,Sun,1.0762124711316396,1.0,37,433,52,33,7,42.035892,11.863122
SANTA SEVERA,Sun,0.9690265486725663,1.0,18,226,25,12,2,42.020645,11.969077
SANTO STEFANO DI CAMASTRA,Sun,-0.8287292817679558,-1.0,17,181,10,4,1,38.01778,14.35104
SANTUARIO,Sun,1.9076923076923078,1.0,5,65,5,3,2,44.34607,8.435756
SARONNO,Sun,-0.034058988764044944,0.0,267,2848,40,14,3,45.625309,9.030839
SASSARI,Sun,2.3309859154929575,1.0,11,142,30,14,8,40.729506,8.554157
SASSONE,Sun,2.1538461538461537,2.0,14,182,29,16,2,41.783777,12.625832
SAVIGLIANO,Sun,2.1112828438948994,1.0,50,647,130,57,27,44.651337,7.663748
SAVONA,Sun,0.8245219347581553,0.0,87,889,153,99,38,44.306892,8.470259
SEDICO BRIBANO,Sun,0.8984962406015038,0.0,38,266,22,10,5,46.095424,12.086508
SELLA DI CORNO,Sun,-0.5538461538461539,-1.0,5,65,2,0,0,42.360461,13.189876
SENIGALLIA,Sun,2.22964509394572,1.0,45,479,113,68,26,43.716277,13.221652
SERENELLA,Sun,2.9655172413793105,3.0,15,145,46,12,1,,
SERRAMANNA NURAMINIS,Sun,1.408256880733945,0.0,25,218,25,14,8,39.426123,8.916579
SESSA AURUNCA R.,Sun,2.4427480916030535,2.0,21,262,73,36,13,41.1955,13.8761
SESTO S. GIOVANNI,Sun,2.053473263368316,1.0,187,2001,434,198,58,45.541087,9.23926
SESTRI LEVANTE,Sun,1.2839912280701755,0.0,82,912,196,126,61,44.27626,9.397651
SETTIMO,Sun,1.0673400673400673,1.0,23,297,19,7,2,45.139834,7.769335
SIBARI,Sun,1.2571428571428571,-1.0,14,175,35,26,12,39.749863,16.456922
SILVI,Sun,1.9589041095890412,1.0,21,219,43,25,9,42.55911,14.110365
SINALUNGA,Sun,1.65625,1.0,14,160,25,15,8,43.216189,11.744866
SOLAROLO,Sun,3.269541778975741,2.0,44,371,104,54,27,44.356425,11.849183
SPOTORNO NOLI,Sun,3.1538461538461537,2.0,40,494,151,90,23,44.226528,8.410932
SPRESIANO,Sun,1.6570680628272252,1.0,31,382,52,22,8,45.77763,12.266984
SUNO,Sun,1.7307692307692308,1.0,2,26,3,1,0,45.620435,8.519344
TALAMONA,Sun,5.222222222222222,4.0,20,234,123,77,27,46.13952,9.599528
TASSIGNANO,Sun,3.4466666666666668,2.0,30,150,56,39,5,43.834131,10.570495
TAVAZZANO,Sun,0.29464285714285715,-1.0,82,560,49,28,8,45.32629,9.402748
TERME VIGLIATORE,Sun,16.0,16.0,1,1,1,1,1,38.133588,15.164396
TERMINI IMERESE,Sun,-1.9001721170395869,-2.0,54,581,28,16,12,37.980132,13.703631
TERMOLI,Sun,2.792079207920792,0.0,36,404,123,99,54,42.000623,14.992805
TERNO,Sun,4.8494117647058825,4.0,36,425,253,131,17,45.688658,9.536169
TITO,Sun,-0.5,-1.0,1,10,0,0,0,40.607321,15.698194
TOLLO CANOSA SANNITA,Sun,8.0,8.0,1,1,1,1,0,42.394208,14.339984
TORA PRESENZANO,Sun,4.378378378378378,3.0,6,74,28,13,4,41.358861,14.04514
TORINO LINGOTTO,Sun,-0.2652854977261243,-1.0,158,1979,113,61,24,45.0266,7.657469
TORINO P.NUOVA,Sun,1.6502890173410405,0.0,116,1384,245,154,81,45.060969,7.67747
TORINO REBAUDENGO FOSSATA,Sun,0.6269315673289183,0.0,70,906,43,18,4,,
TORRICOLA,Sun,0.97265625,0.0,20,256,27,15,2,41.809538,12.557716
TORTONA,Sun,3.6515151515151514,2.0,53,462,160,108,36,44.900126,8.861777
TRANI,Sun,3.8558758314855877,1.0,41,451,126,90,48,41.272693,16.417646
TRECATE,Sun,1.8173455978975033,1.0,64,761,105,52,19,45.428589,8.739561
TREPUZZI,Sun,10.0,10.0,1,1,1,1,0,40.40964,18.076902
TROMELLO,Sun,4.638888888888889,2.0,12,144,38,11,6,45.211988,8.872154
TRONZANO,Sun,0.30177514792899407,-1.0,13,169,18,7,1,45.342929,8.168395
UDINE,Sun,0.5380952380952381,-1.0,53,630,58,34,21,46.055791,13.242003
VAIRANO,Sun,1.987551867219917,0.0,19,241,59,39,14,41.317446,14.104022
VALENZA,Sun,2.7649122807017545,3.0,23,285,112,39,8,45.023527,8.625808
VALLE DI MADDALONI,Sun,1.2352941176470589,1.0,4,51,12,9,2,41.087558,14.426049
VALMADONNA,Sun,1.9719298245614034,1.0,23,285,55,17,4,44.972588,8.610667
VALMADRERA,Sun,0.6227272727272727,0.0,22,220,14,8,2,45.846439,9.368183
VALMONTONE,Sun,2.7430167597765363,2.0,28,358,68,24,5,41.774291,12.923696
VARANO,Sun,2.742574257425743,2.0,12,101,28,16,3,43.574729,13.523436
VARESE,Sun,0.9619047619047619,1.0,127,840,86,43,14,45.816201,8.833089
VENEZIA MESTRE,Sun,0.9066727814721394,0.0,396,4361,484,250,132,45.482123,12.232069
VERCELLI,Sun,1.1061046511627908,0.0,56,688,79,45,21,45.329909,8.416028
VEROLANUOVA,Sun,2.210762331838565,1.0,19,223,52,28,9,45.324989,10.08388
VIBO MARINA,Sun,3.704081632653061,2.0,11,98,24,16,6,38.713731,16.120199
VIBO VALENZIA PIZZO,Sun,3.040498442367601,1.0,28,321,70,52,25,38.714593,16.139887
VICCHIO,Sun,1.7623318385650224,1.0,19,223,46,11,5,43.933463,11.457634
VICOFERTILE,Sun,1.7411764705882353,1.0,36,170,23,11,4,44.778436,10.25834
VIDALENGO,Sun,9.0,9.0,1,1,1,1,0,45.517854,9.639676
VIGNA CLARA,Sun,0.375,0.0,2,24,1,1,0,41.96827,12.409026
VIGNALE RIOTORTO,Sun,5.0,4.0,2,3,2,1,0,42.967587,10.667255
VIGONZA PIANIGA,Sun,11.0,11.0,1,1,1,1,1,45.442799,12.017977
VILLA LITERNO,Sun,0.28607594936708863,0.0,34,395,57,24,9,41.004956,14.06753
VILLA OPICINA,Sun,-0.11538461538461539,-1.0,2,26,3,2,0,45.6944,13.791142
VILLAFRANCA - BAGNONE,Sun,1.326984126984127,0.0,31,315,63,35,8,44.294399,9.948096
VILLAFRANCA C.,Sun,0.9140625,0.0,20,256,33,16,6,44.908916,8.043692
VILLAFRANCA DI VERONA,Sun,-0.6709677419354839,-1.0,15,155,15,9,1,45.349801,10.849016
