stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
VENEZIA SANTA LUCIA,,Sun,2.724517906336088,-1.0,30,363,64,43,30
ALESSANDRIA,,Sun,0.84,-1.0,2,25,5,4,1
AREZZO,,Sun,4.48936170212766,3.0,4,47,22,16,8
BARI CENTRALE,,Sun,0.34195402298850575,-3.0,30,348,92,76,40
BARLETTA,,Sun,5.083573487031701,1.0,30,347,139,115,66
BOLOGNA C.LE,,Sun,4.583586626139818,3.0,31,329,153,116,63
BOLZANO,,Sun,7.63768115942029,4.0,6,69,44,28,11
BRINDISI,,Sun,0.8446969696969697,-2.0,23,264,59,40,24
CECINA,,Sun,5.0,3.0,2,25,11,7,4
CESENA,,Sun,10.35576923076923,7.0,9,104,64,57,38
CIVITANOVA MARCHE,,Sun,7.6,6.0,2,25,17,13,6
CORNIGLIA,,Sun,17.666666666666668,12.0,2,3,2,2,2
FERRARA,,Sun,3.248299319727891,2.0,26,294,93,53,30
FOGGIA,,Sun,4.816062176165803,2.0,33,386,143,98,51
FOLIGNO,,Sun,5.291666666666667,-1.0,2,24,5,4,4
FROSINONE,,Sun,4.0,-1.0,2,23,4,3,2
GENOVA BRIGNOLE,,Sun,3.7062146892655368,1.0,15,177,60,45,23
LATISANA LIGNANO B.,,Sun,1.7142857142857142,1.0,5,49,10,6,1
MANTOVA,,Sun,3.3636363636363638,1.0,1,11,2,2,1
MILANO CENTRALE,,Sun,6.072855464159812,2.0,78,851,326,247,157
MODENA,,Sun,7.17479674796748,5.0,21,246,163,121,59
PALAZZOLO SULL`OGLIO,,Sun,-3.75,-4.0,3,4,0,0,0
PESARO,,Sun,6.719135802469136,3.0,27,324,155,122,78
PESCARA,,Sun,4.575875486381323,1.0,21,257,106,81,49
PISA CENTRALE,,Sun,2.6280487804878048,2.0,14,164,58,48,18
PORDENONE,,Sun,-0.75,-3.0,4,48,5,4,3
ROMA TERMINI,,Sun,3.2105638829407566,1.0,126,1401,418,291,144
ROVERETO,,Sun,3.985611510791367,4.0,12,139,70,41,9
ROVIGO,,Sun,1.6524822695035462,-1.0,12,141,24,18,11
SIBARI,,Sun,17.666666666666668,10.0,1,12,8,8,6
SPOLETO,,Sun,6.041666666666667,1.0,2,24,4,4,4
TARANTO,,Sun,4.25,-2.0,1,12,4,3,2
TORINO PORTA SUSA,,Sun,3.307036247334755,-1.0,43,469,109,77,46
VALLO DELLA LUC. CASTELNUOVO,,Sun,3.533333333333333,2.0,6,75,24,14,8
VIAREGGIO,,Sun,4.811023622047244,4.0,11,127,67,47,18
VIBO VALENZIA PIZZO,,Sun,3.836734693877551,1.0,8,98,29,20,10
