stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
PALERMO CENTRALE,IC,3.2839506172839505,-10.0,5,81,27,22,18,38.109187,13.367515
PAOLA,IC,6.189423076923077,-2.0,31,1040,269,225,168,39.359442,16.033093
PARMA,IC,5.939670932358318,2.0,29,1094,442,321,162,44.810203,10.32837
PATTI-SAN PIERO PATTI,IC,9.941605839416058,3.0,10,274,131,98,65,38.146905,14.975331
PERUGIA PONTE S.GIOVANNI,IC,9.0,9.0,1,1,1,1,0,43.091801,12.438239
PESARO,IC,3.2550143266475646,1.0,22,1047,308,221,121,43.906014,12.904848
PIACENZA,IC,2.5455349248452697,-1.0,32,1131,301,234,149,45.052238,9.70633
PISA CENTRALE,IC,4.3148379052369075,2.0,34,1604,606,381,169,43.70794,10.398183
POLIGNANO A MARE,IC,10.298136645962733,5.0,2,161,93,78,52,40.990926,17.218676
POLLINA,IC,13.710843373493976,-2.0,3,83,32,31,31,38.018,14.175943
PORTOGRUARO CAORLE,IC,4.334600760456274,2.0,5,263,84,48,20,45.781438,12.832375
POTENZA CENTRALE,IC,5.785714285714286,2.0,4,308,122,83,46,40.629469,15.806808
PRAJA AJETA TORTORA,IC,5.597855227882038,3.0,6,373,174,145,73,39.900832,15.780628
PRATO CENTRALE,IC,3.847043701799486,-2.0,17,778,281,250,174,43.878737,11.109252
PRIVERNO FOSSANOVA,IC,1.0,1.0,1,1,0,0,0,41.421853,13.186406
QUARTO D`ALTINO,IC,4.0,4.0,1,1,1,0,0,45.574576,12.365032
RAPALLO,IC,10.3,8.0,16,30,24,21,13,44.351398,9.231282
REGGIO EMILIA,IC,6.399441340782123,3.0,27,1074,504,370,185,44.697793,10.643093
RICADI,IC,5.219512195121951,-2.0,6,41,14,11,8,38.630676,15.839848
RICCIONE,IC,1.6971252566735113,-1.0,15,974,212,166,87,43.999218,12.658549
RIMINI,IC,1.3287920072661217,-1.0,25,1101,231,175,98,44.064176,12.574093
ROMA OSTIENSE,IC,3.4109347442680775,-1.0,19,567,136,111,65,41.87265,12.483917
ROMA TERMINI,IC,6.645673603504929,1.0,40,1826,681,521,318,41.900636,12.502026
RONCO SCR.,IC,-2.0,-2.0,1,1,0,0,0,44.614537,8.949421
ROSARNO,IC,7.333333333333333,1.0,20,774,221,178,108,38.488593,15.970149
ROSSANO,IC,11.39655172413793,9.0,4,348,299,240,128,39.603005,16.640859
S. DONA` DI PIAVE,IC,2.7785714285714285,1.0,5,280,70,43,21,45.63983,12.559791
S.AGATA M.,IC,8.722627737226277,2.0,10,274,111,87,57,38.073554,14.640622
SAN SEVERO,IC,6.014527845036319,3.0,16,826,406,314,160,41.684512,15.392567
SANREMO,IC,9.25,6.0,11,40,32,25,12,43.821269,7.766693
SARZANA,IC,5.3389261744966445,2.0,5,298,113,77,37,44.108865,9.960657
SCALEA S.DOMENICA TALAO,IC,11.171087533156498,4.0,18,754,416,342,206,39.8083,15.80139
SCANZANO J. MONTALBANO J.,IC,0.0,-2.0,1,6,1,1,0,40.25362,16.705192
SENIGALLIA,IC,3.8260427263479144,1.0,17,983,321,221,114,43.716277,13.221652
SIBARI,IC,6.868571428571428,4.0,4,350,178,130,65,39.749863,16.456922
SICIGNANO DEGLI ALBURNI,IC,8.55700325732899,6.0,4,307,207,159,65,40.605454,15.290904
SOLOPACA,IC,23.5,7.0,1,4,3,3,2,41.210521,14.571413
SOVERATO,IC,6.997167138810198,4.0,4,353,192,147,80,38.684339,16.549416
SQUILLACE,IC,19.0,19.0,1,5,4,4,4,38.77705,16.570418
