stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
VALLO DELLA LUC. CASTELNUOVO,ICN,Thu,3.125,2.0,1,8,3,1,1,40.233316,15.266511
AGROPOLI CASTELLABATE,ICN,Thu,0.125,-2.0,1,8,1,1,0,40.351521,15.002053
BRINDISI,ICN,Thu,-2.578125,-3.0,6,64,5,1,0,40.634339,17.938978
CAPO D`ORLANDO-NASO,ICN,Thu,9.37704918032787,1.0,6,61,24,21,18,38.157941,14.744844
CATANIA CENTRALE,ICN,Thu,2.953488372093023,1.0,5,43,13,11,5,37.506211,15.099417
CORNIGLIA,ICN,Thu,1.0,1.0,1,1,0,0,0,44.119938,9.711051
FASANO,ICN,Thu,1.6341463414634145,1.0,4,41,8,6,2,40.851753,17.3859
FORLI`,ICN,Thu,4.333333333333333,0.0,3,30,12,10,7,44.22413,12.054871
GIARRE RIPOSTO,ICN,Thu,5.682926829268292,2.0,5,41,15,14,8,37.730346,15.193386
LENTINI,ICN,Thu,4.5813953488372094,2.0,5,43,11,9,6,37.300916,14.99758
LIVORNO CENTRALE,ICN,Thu,7.25,1.0,4,40,15,13,6,43.55406,10.336593
MONSELICE,ICN,Thu,3.2857142857142856,0.0,5,21,4,4,2,45.246116,11.74789
NICOTERA,ICN,Thu,8.705882352941176,5.0,2,17,11,7,3,38.549328,15.933749
OSTUNI,ICN,Thu,1.5609756097560976,1.0,4,41,11,5,2,40.752356,17.580809
PALERMO CENTRALE,ICN,Thu,-4.310344827586207,-6.0,3,29,7,7,4,38.109187,13.367515
PATTI-SAN PIERO PATTI,ICN,Thu,6.688524590163935,1.0,6,61,28,22,17,38.146905,14.975331
PRATO CENTRALE,ICN,Thu,2.125,-3.0,1,8,3,2,2,43.878737,11.109252
REGGIO EMILIA,ICN,Thu,9.125,7.0,4,40,26,24,11,44.697793,10.643093
RIMINI,ICN,Thu,1.0,-4.0,6,64,14,11,10,44.064176,12.574093
ROMA OSTIENSE,ICN,Thu,9.536585365853659,-1.0,4,41,17,14,8,41.87265,12.483917
ROMA TIBURTINA,ICN,Thu,-0.8571428571428571,-3.0,2,21,3,2,1,41.910903,12.530749
TERME EUGANEE-ABANO-MONTEGR.,ICN,Thu,4.238095238095238,1.0,5,21,4,4,3,45.32744,11.79604
TERMOLI,ICN,Thu,-3.4545454545454546,-3.0,2,22,5,3,1,42.000623,14.992805
TERONTOLA CORTONA,ICN,Thu,4.9411764705882355,2.0,4,17,8,5,2,43.210263,12.007906
TORINO LINGOTTO,ICN,Thu,6.593220338983051,1.0,6,59,17,13,8,45.0266,7.657469
TORINO P.NUOVA,ICN,Thu,10.136363636363637,2.0,4,44,14,10,6,45.060969,7.67747
TROPEA,ICN,Thu,4.647058823529412,-1.0,2,17,4,4,2,38.672302,15.894568
VENEZIA SANTA LUCIA,ICN,Thu,3.4285714285714284,1.0,5,21,3,3,2,45.441569,12.320882
VERCELLI,ICN,Thu,9.333333333333334,3.0,2,21,9,3,3,45.329909,8.416028
VIBO VALENZIA PIZZO,ICN,Thu,16.75,17.0,1,8,6,6,6,38.714593,16.139887
