stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
MONTEROSSO,IC,Thu,2.07035175879397,1.0,16,199,48,27,12
ORBETELLO,IC,Thu,8.26086956521739,2.0,2,23,9,8,5
ORTE,IC,Thu,5.403314917127072,3.0,16,181,84,62,27
P.M.TORRICCHIO,IC,Thu,2.0,2.0,1,1,0,0,0
PARMA,IC,Thu,5.271604938271605,2.0,19,162,65,48,26
POLICORO TURSI,IC,Thu,7.7254901960784315,6.0,4,51,34,29,11
POLIGNANO A MARE,IC,Thu,11.130434782608695,6.0,2,23,13,12,8
PORDENONE,IC,Thu,1.5,1.0,3,4,0,0,0
PORTO S. GIORGIO FERMO,IC,Thu,5.377777777777778,4.0,11,135,70,52,27
PRATO CENTRALE,IC,Thu,2.9767441860465116,-2.0,13,129,43,39,25
RIMINI,IC,Thu,3.193103448275862,-1.0,17,145,41,34,18
ROMA CASILINA,IC,Thu,0.5,-6.0,2,2,1,1,0
ROSARNO,IC,Thu,4.62037037037037,1.0,13,108,36,24,13
S. MARGHERITA LIGURE PORTOFINO,IC,Thu,2.9673202614379086,2.0,12,153,47,38,13
S.BENEDETTO DEL TRONTO,IC,Thu,5.242647058823529,4.0,12,136,73,54,20
SALERNO,IC,Thu,6.2899159663865545,0.0,28,238,81,70,52
SAVONA,IC,Thu,4.6,3.0,10,110,45,33,15
SENIGALLIA,IC,Thu,4.2518518518518515,2.0,11,135,48,33,21
SIDERNO,IC,Thu,8.73076923076923,5.0,4,52,30,24,15
SOVERATO,IC,Thu,7.423076923076923,5.0,4,52,32,24,12
TERMOLI,IC,Thu,5.675438596491228,4.0,11,114,62,44,24
TERONTOLA CORTONA,IC,Thu,6.215277777777778,3.0,15,144,62,43,26
TORINO P.NUOVA,IC,Thu,4.807017543859649,1.0,8,57,11,6,4
TREBISACCE,IC,Thu,7.384615384615385,5.0,4,52,34,22,9
TREVISO C.,IC,Thu,-0.5,-1.0,3,4,0,0,0
VAIRANO,IC,Thu,12.454545454545455,6.0,2,22,12,12,11
VERCELLI,IC,Thu,0.9285714285714286,1.0,3,28,6,3,1
VILLA SAN GIOVANNI,IC,Thu,6.489932885906041,0.0,21,149,52,41,31
VILLANOVA,IC,Thu,5.666666666666667,2.0,1,3,1,1,1
VOGHERA,IC,Thu,4.701834862385321,3.0,20,218,102,74,18
