shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_2_1,44.286602,8.44708,460,95261.281
shp_2_1,44.288521,8.449206,461,95533.906
shp_2_1,44.290443,8.451302,462,95805.391
shp_2_1,44.29137,8.452365,463,95938.961
shp_2_1,44.291714,8.452778,464,95989.43
shp_2_1,44.292068,8.45323,465,96042.75
shp_2_1,44.292583,8.453952,466,96124.047
shp_2_1,44.292957,8.454511,467,96184.922
shp_2_1,44.29575,8.459089,468,96664.273
shp_2_1,44.29641,8.460182,469,96778.234
shp_2_1,44.296669,8.460633,470,96824.43
shp_2_1,44.296951,8.46116,471,96876.742
shp_2_1,44.297195,8.461674,472,96925.969
shp_2_1,44.297501,8.462366,473,96990.617
shp_2_1,44.29921,8.466401,474,97364.281
shp_2_1,44.299412,8.46685,475,97406.523
shp_2_1,44.299568,8.467144,476,97435.758
shp_2_1,44.299763,8.46747,477,97469.516
shp_2_1,44.299942,8.467738,478,97498.703
shp_2_1,44.30014,8.467993,479,97528.648
shp_2_1,44.300365,8.468246,480,97560.961
shp_2_1,44.300621,8.468497,481,97595.688
shp_2_1,44.3009,8.468723,482,97631.391
shp_2_1,44.301182,8.468911,483,97666.18
shp_2_1,44.301479,8.469075,484,97701.977
shp_2_1,44.30175,8.469194,485,97733.742
shp_2_1,44.302109,8.469314,486,97774.438
shp_2_1,44.304176,8.469835,487,98008.461
shp_2_1,44.305061,8.470069,488,98108.898
shp_2_1,44.305428,8.470156,489,98149.938
shp_2_1,44.305698,8.470212,490,98180.391
shp_2_1,44.306034,8.470244,491,98217.867
shp_2_1,44.306511,8.470263,492,98271.055
shp_2_1,44.307259,8.470264,493,98354.18
shp_2_1,44.307259,8.470264,494,98354.18
shp_2_1,44.309258,8.470292,495,98576.82
shp_2_1,44.311005,8.470286,496,98771.25
shp_2_1,44.311382,8.470303,497,98813.359
shp_2_1,44.312534,8.470384,498,98941.977
shp_2_1,44.312881,8.470429,499,98980.609
shp_2_1,44.313576,8.470561,500,99058.867
shp_2_1,44.314301,8.470736,501,99140.57
shp_2_1,44.315956,8.471085,502,99326.859
shp_2_1,44.318962,8.471658,503,99664.797
shp_2_1,44.319286,8.471733,504,99701.086
shp_2_1,44.319736,8.471868,505,99752.609
shp_2_1,44.320087,8.471998,506,99792.875
shp_2_1,44.320427,8.472149,507,99832.539
shp_2_1,44.320763,8.472309,508,99872.156
shp_2_1,44.321224,8.47258,509,99927.781
shp_2_1,44.321674,8.47287,510,99982.891
shp_2_1,44.322163,8.473217,511,100044.063
shp_2_1,44.322639,8.473629,512,100106.438
shp_2_1,44.323109,8.474088,513,100170.219
shp_2_1,44.323677,8.474697,514,100249.742
shp_2_1,44.324169,8.475265,515,100320.875
shp_2_1,44.324657,8.475897,516,100395.031
shp_2_1,44.325607,8.477236,517,100545.117
shp_2_1,44.326172,8.478134,518,100640.43
shp_2_1,44.326668,8.478987,519,100727.781
shp_2_1,44.327232,8.48,520,100830.109
shp_2_1,44.327885,8.481243,521,100952.961
shp_2_1,44.328396,8.482312,522,101055.195
shp_2_1,44.328861,8.483445,523,101159.445
shp_2_1,44.329273,8.484603,524,101262.281
shp_2_1,44.329685,8.485972,525,101380.563
shp_2_1,44.330055,8.487394,526,101501.023
shp_2_1,44.330437,8.488989,527,101635.016
shp_2_1,44.330784,8.490536,528,101764.047
shp_2_1,44.331547,8.494295,529,102075.227
shp_2_1,44.332153,8.497509,530,102339.945
shp_2_1,44.333344,8.50433,531,102898.914
shp_2_1,44.334488,8.511093,532,103452.273
shp_2_1,44.334625,8.51198,533,103524.594
shp_2_1,44.335526,8.517019,534,103938.211
shp_2_1,44.335796,8.518719,535,104076.813
shp_2_1,44.335865,8.51926,536,104120.57
shp_2_1,44.33593,8.519821,537,104165.797
shp_2_1,44.335983,8.520354,538,104208.664
shp_2_1,44.336021,8.520864,539,104249.5
shp_2_1,44.336048,8.521476,540,104298.32
shp_2_1,44.33606,8.521968,541,104337.523
shp_2_1,44.336052,8.523364,542,104448.656
shp_2_1,44.335918,8.526941,543,104733.852
shp_2_1,44.33593,8.527873,544,104808.086
shp_2_1,44.335987,8.528769,545,104879.648
shp_2_1,44.336067,8.529661,546,104951.281
shp_2_1,44.336174,8.5306,547,105026.906
shp_2_1,44.336292,8.531345,548,105087.813
shp_2_1,44.336426,8.532039,549,105144.891
shp_2_1,44.336582,8.532762,550,105205.039
shp_2_1,44.336784,8.533546,551,105271.422
shp_2_1,44.337002,8.534292,552,105335.531
shp_2_1,44.337189,8.534832,553,105383.375
shp_2_1,44.337456,8.535453,554,105441.07
shp_2_1,44.337662,8.535886,555,105482.336
shp_2_1,44.337894,8.536336,556,105526.656
shp_2_1,44.338264,8.536977,557,105592.117
shp_2_1,44.339005,8.538091,558,105713.422
shp_2_1,44.33976,8.539112,559,105830.148
shp_2_1,44.342487,8.542691,560,106246.703
shp_2_1,44.344761,8.545618,561,106590.555
shp_2_1,44.345329,8.546372,562,106677.961
shp_2_1,44.345627,8.546777,563,106723.961
shp_2_1,44.34594,8.547186,564,106771.875
shp_2_1,44.346539,8.548018,565,106865.813
shp_2_1,44.346733,8.548308,566,106897.492
shp_2_1,44.347538,8.549795,567,107045.906
shp_2_1,44.347828,8.550351,568,107100.781
shp_2_1,44.348095,8.550891,569,107152.906
shp_2_1,44.354359,8.562639,570,108319.336
shp_2_1,44.354904,8.563679,571,108422.047
shp_2_1,44.355465,8.564637,572,108520.539
shp_2_1,44.356602,8.566364,573,108707.617
shp_2_1,44.358147,8.568609,574,108955.336
shp_2_1,44.359287,8.570168,575,109132.945
shp_2_1,44.36055,8.571847,576,109326.914
shp_2_1,44.361729,8.573535,577,109514.586
shp_2_1,44.361919,8.573833,578,109546.469
